번호,종목코드,종목명,현재가,전일대비,공시일,지정일,해제일
81,18700,바른손,"2,925",30,2016/09/19,2016/09/20,2016/10/05
80,65060,지엔코,"1,055",-25,2016/09/13,2016/09/19,2016/10/06
79,147830,제룡산업,"7,020",130,2016/09/12,2016/09/13,2016/10/04
78,33100,제룡전기,"5,390",50,2016/09/09,2016/09/12,2016/09/29
77,112240,에스에프씨,-,-,2016/09/07,2016/09/08,2016/09/27
76,21045,대호피앤씨우,"1,295",0,2016/09/05,2016/09/06,2016/09/27
75,224060,코디엠,450,-14,2016/08/24,2016/08/25,2016/09/21
74,58400,KNN,"2,200",20,2016/08/17,2016/08/18,2016/09/01
73,64240,홈캐스트,"2,995",155,2016/08/12,2016/08/16,2016/09/07
72,43910,자연과환경,"1,380",-15,2016/08/11,2016/08/12,2016/08/29
71,23430,아이이,-,-,2016/08/10,2016/08/11,2016/08/26
70,71670,에이테크솔루션,"10,600",-700,2016/08/08,2016/08/09,2016/08/24
69,101390,아이엠,791,-1,2016/08/04,2016/08/05,2016/08/22
68,104040,대성파인텍,"1,980",-280,2016/08/02,2016/08/03,2016/08/22
67,36620,버추얼텍,709,-4,2016/08/01,2016/08/02,2016/08/17
66,39230,솔브레인이엔지,181,00,2016/07/29,2016/08/01,2016/08/16
65,204840,IBKS제2호스팩,"1,355",0,2016/07/25,2016/07/26,2016/08/10
64,106080,하이소닉,"3,330",00,2016/07/21,2016/07/22,2016/08/05
63,47080,한빛소프트,"3,380",-25,2016/07/20,2016/07/21,2016/08/04
62,65440,이루온,"1,345",5,2016/07/15,2016/07/18,2016/08/01
61,109610,에스와이패널,"4,705",-40,2016/07/14,2016/07/15,2016/07/29
60,42040,케이피엠테크,"2,900",-145,2016/07/13,2016/07/14,2016/07/29
59,153460,네이블,"5,230",250,2016/07/13,2016/07/14,2016/07/28
58,23430,아이이,-,-,2016/07/13,2016/07/14,2016/07/27
57,220260,엘아이지이에스스팩,"6,820",90,2016/07/12,2016/07/13,2016/07/27
56,200230,텔콘,"5,700",-110,2016/07/11,2016/07/12,2016/07/26
55,57880,토필드,"2,015",-25,2016/07/07,2016/07/08,2016/07/22
54,66110,한프,480,00,2016/07/04,2016/07/05,2016/07/25
53,49180,셀루메드,"5,980",00,2016/06/23,2016/06/24,2016/07/08
52,46940,우원개발,"6,180",50,2016/06/22,2016/06/23,2016/07/07
51,24840,갑을메탈,"1,775",15,2016/06/20,2016/06/21,2016/07/05
50,43340,에쎈테크,"1,145",-20,2016/06/20,2016/06/21,2016/07/05
49,83790,크리스탈,"16,850",-300,2016/06/20,2016/06/21,2016/07/05
48,204840,IBKS제2호스팩,"1,355",0,2016/06/15,2016/06/16,2016/07/05
47,33430,한국자원투자개발,370,00,2016/06/07,2016/06/08,2016/06/22
46,16600,큐캐피탈,545,0,2016/06/01,2016/06/02,2016/06/22
45,30270,가희,-,-,2016/05/26,2016/05/27,2016/06/13
44,65060,지엔코,"1,055",-25,2016/05/26,2016/05/27,2016/06/13
